mode,k,members,rank_corr,top_k_sharpe,top_k_cum,top_k_hit
raw,1,logistic_image_scale,0.03924851190476191,0.38500929176343807,0.6569180682499105,0.5902777777777778
raw,1,logistic_cumulative_scale,-0.007217261904761907,0.07643795194437607,-0.05122835965927475,0.5555555555555556
raw,1,cnn_1d_image_scale,-0.001004464285714283,0.07272599856082221,-0.04692768954985116,0.5486111111111112
raw,1,cnn_2d_rendered_images,0.002194940476190475,0.20192275551052374,0.22900550409906772,0.5694444444444444
raw,1,cnn_1d_attention_image_scale,0.023127480158730167,0.2681053526198874,0.39175317958670086,0.5902777777777778
raw,1,cnn_1d_cumulative_scale,0.027095734126984128,0.5214478524828869,0.9977374615768371,0.5902777777777778
raw,1,cnn_1d_dilated_image_scale,0.027963789682539684,0.35437782903443815,0.6661490312217502,0.5694444444444444
raw,1,cnn_1d_multiscale_image_scale,0.008692956349206344,0.24587455819518209,0.34244988462400405,0.5833333333333334
raw,1,cnn_2d_residual_images,0.007226267715429987,0.09561768049766343,0.01536367262259164,0.5486111111111112
raw,1,cnn_2d_residual_small,0.04261262688625306,0.20800248243214942,0.25282484636839997,0.5902777777777778
raw,1,lstm_image_scale,0.050607638888888896,0.18522778907459791,0.1875003842474261,0.5486111111111112
raw,1,lstm_cumulative_scale,-0.01674107142857143,0.29723349838486995,0.4825325417178552,0.5763888888888888
raw,1,cnnlstm_image_scale,0.04482886904761906,0.43372873123002603,0.899801674505295,0.5763888888888888
raw,1,cnnlstm_cumulative_scale,-0.012549603174603175,0.36099154509879655,0.5787823921091009,0.5625
raw,2,logistic_image_scale + logistic_cumulative_scale,0.02165178571428572,0.1558608064495073,0.13123069735860815,0.5625
raw,2,logistic_image_scale + cnn_1d_image_scale,0.030890376984126996,0.1676975040028514,0.16057004484385184,0.5625
raw,2,logistic_image_scale + cnn_2d_rendered_images,0.04011656746031747,0.3596680050817608,0.6860794559335246,0.5694444444444444
raw,2,logistic_image_scale + cnn_1d_attention_image_scale,0.03294890873015874,0.31107990129113444,0.5103194625864589,0.6111111111111112
raw,2,logistic_image_scale + cnn_1d_cumulative_scale,0.04335317460317462,0.49386063645412837,0.9575911724322708,0.5902777777777778
raw,2,logistic_image_scale + cnn_1d_dilated_image_scale,0.045585317460317465,0.3877068685897476,0.8002292613380289,0.5902777777777778
raw,2,logistic_image_scale + cnn_1d_multiscale_image_scale,0.033593750000000006,0.4246278908651294,0.7927582721562472,0.5833333333333334
raw,2,logistic_image_scale + cnn_2d_residual_images,0.03686755952380953,0.21494768806292916,0.2675614541482809,0.5694444444444444
raw,2,logistic_image_scale + cnn_2d_residual_small,0.046490575396825405,0.3443909392813735,0.6352654215998148,0.6041666666666666
raw,2,logistic_image_scale + lstm_image_scale,0.05124007936507938,0.36597560399439844,0.7113078349806308,0.5972222222222222
raw,2,logistic_image_scale + lstm_cumulative_scale,0.033978174603174614,0.49697242020023835,1.0002232909945707,0.5694444444444444
raw,2,logistic_image_scale + cnnlstm_image_scale,0.045548115079365084,0.4559554719744601,0.9020641159468417,0.5694444444444444
raw,2,logistic_image_scale + cnnlstm_cumulative_scale,0.03239087301587302,0.3688128351931738,0.6536672712771134,0.5833333333333334
raw,2,logistic_cumulative_scale + cnn_1d_image_scale,-0.009027777777777782,-0.0010105219257996048,-0.19032272665383743,0.5486111111111112
raw,2,logistic_cumulative_scale + cnn_2d_rendered_images,-0.016617063492063492,0.05213613303902888,-0.09472151314526611,0.5555555555555556
raw,2,logistic_cumulative_scale + cnn_1d_attention_image_scale,-0.0025545634920634986,0.20767140713837245,0.25788722857891466,0.5555555555555556
raw,2,logistic_cumulative_scale + cnn_1d_cumulative_scale,-0.0018229166666666617,0.06263443715808363,-0.07354936679309743,0.5277777777777778
raw,2,logistic_cumulative_scale + cnn_1d_dilated_image_scale,-0.014198908730158733,0.13871236968041237,0.09322480978069159,0.5625
raw,2,logistic_cumulative_scale + cnn_1d_multiscale_image_scale,-0.017770337301587297,0.04668701363495147,-0.09955510276246271,0.5416666666666666
raw,2,logistic_cumulative_scale + cnn_2d_residual_images,-0.009957837301587304,0.024918068215200546,-0.15191285637862106,0.5486111111111112
raw,2,logistic_cumulative_scale + cnn_2d_residual_small,-0.0023809523809523773,0.0791601794533091,-0.03425481575590428,0.5763888888888888
raw,2,logistic_cumulative_scale + lstm_image_scale,0.00296378968253968,0.07594421796518105,-0.04836185160411466,0.5486111111111112
raw,2,logistic_cumulative_scale + lstm_cumulative_scale,-0.006485615079365075,0.09389495599907059,-0.01881694402644052,0.5277777777777778
raw,2,logistic_cumulative_scale + cnnlstm_image_scale,-0.0018353174603174625,0.03722408920014355,-0.1281636619133325,0.5555555555555556
raw,2,logistic_cumulative_scale + cnnlstm_cumulative_scale,-0.008903769841269839,0.13268923367138968,0.07606211180270428,0.5555555555555556
raw,2,cnn_1d_image_scale + cnn_2d_rendered_images,0.028844246031746037,0.25228629608681225,0.348848489252817,0.5972222222222222
raw,2,cnn_1d_image_scale + cnn_1d_attention_image_scale,0.017274305555555564,0.26808288944764114,0.39079149414574776,0.5625
raw,2,cnn_1d_image_scale + cnn_1d_cumulative_scale,0.021155753968253973,0.12207993236141165,0.043985423366248444,0.5555555555555556
raw,2,cnn_1d_image_scale + cnn_1d_dilated_image_scale,0.0216765873015873,0.2722202571576053,0.4118047311482673,0.5555555555555556
raw,2,cnn_1d_image_scale + cnn_1d_multiscale_image_scale,0.01619543650793651,0.23065222452118683,0.30049564954656915,0.5625
raw,2,cnn_1d_image_scale + cnn_2d_residual_images,0.024590773809523812,0.17416270450915564,0.175812694779107,0.5416666666666666
raw,2,cnn_1d_image_scale + cnn_2d_residual_small,0.03123759920634921,0.16151149420140523,0.1478901839066733,0.5694444444444444
raw,2,cnn_1d_image_scale + lstm_image_scale,0.025049603174603172,0.14201406219393578,0.08709236713739466,0.5902777777777778
raw,2,cnn_1d_image_scale + lstm_cumulative_scale,0.006039186507936509,0.21536965787508672,0.27645170909417227,0.5902777777777778
raw,2,cnn_1d_image_scale + cnnlstm_image_scale,0.016505456349206353,0.04118527746329213,-0.10400129558339732,0.5416666666666666
raw,2,cnn_1d_image_scale + cnnlstm_cumulative_scale,0.000396825396825388,0.17238492102124786,0.16284007029972702,0.5694444444444444
